"","type","title","subtitle","from","date","link"
"981","Press release","Olympics chief brought in to boost PPE production","Lord Deighton will lead the national effort to produce essential personal protective equipment for frontline health and social care staff.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-04-19,"https://www.gov.uk/government/news/olympics-chief-brought-in-to-boost-ppe-production"
"982","Press release","PPE production starts in Grimsby thanks to Austrian investment","Austria-based Hygiene Austria are set to produce 10 million masks per month in Grimbsy in a project that will create around 60 new jobs in the next 3 months","Department for International Trade and Ranil Jayawardena MP",2020-06-08,"https://www.gov.uk/government/news/ppe-production-starts-in-grimsby-thanks-to-austrian-investment"
"983","Press release","Spain travel advice: Foreign Office statement, 18 March 2020","The FCO advises all British travellers in Spain to contact their tour operator or airline as soon as possible, to arrange their return journey before 24 March.","Foreign & Commonwealth Office",2020-03-18,"https://www.gov.uk/government/news/spain-travel-advice-foreign-office-statement-18-march-2020"
"984","News story","Status of Phase 1 clinical trials in response to coronavirus (COVID-19)","We have written to all Phase I accredited units conducting early phase clinical trials to seek confirmation that all trials have undergone a risk assessment in relation to coronavirus (COVID-19) and the current government advice.","Medicines and Healthcare products Regulatory Agency",2020-03-31,"https://www.gov.uk/government/news/status-of-phase-1-clinical-trials-in-response-to-coronavirus-covid-19"
"985","Press release","Three further flights to bring hundreds of British travellers home from Bangladesh","The government has announced 3 further charter flights from Bangladesh, bringing more than 900 British travellers home to the UK.","Foreign & Commonwealth Office and Lord Ahmad of Wimbledon",2020-05-15,"https://www.gov.uk/government/news/three-further-flights-to-bring-hundreds-of-british-travellers-home-from-bangladesh"
"986","Correspondence","ACMD advice on COVID-19 emergency legislation to enable supply of controlled drugs","Letter from the Advisory Council on the Misuse of Drugs (ACMD) to the Home Secretary advising on COVID-19 emergency measures to enable the supply of controlled drugs.","Advisory Council on the Misuse of Drugs",2020-04-07,"https://www.gov.uk/government/publications/acmd-advice-on-covid-19-emergency-legislation-to-enable-supply-of-controlled-drugs"
"987","Speech","Chancellor of the Duchy of Lancaster statement on coronavirus (COVID-19): 27 March 2020","Chancellor of the Duchy of Lancaster Michael Gove made a statement on coronavirus.","Prime Minister's Office, 10 Downing Street and The Rt Hon Michael Gove MP",2020-04-30,"https://www.gov.uk/government/speeches/chancellor-of-the-duchy-of-lancaster-statement-on-coronavirus-covid-19-27-march-2020"
"988","Speech","Communities Secretary's statement on coronavirus (COVID-19): 31 May 2020","The Communities Secretary on the government’s response to COVID-19.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-05-31,"https://www.gov.uk/government/speeches/communities-secretarys-statement-on-coronavirus-covid-19-31-may-2020"
"989","Speech","Dame Glenys Stacey: speech to AOC's FE Summit, 18 November 2020","Dame Glenys Stacey's speech to the Association of Colleges' Further Education Summit, 18 November 2020.","Ofqual and Dame Glenys Stacey",2020-11-18,"https://www.gov.uk/government/speeches/dame-glenys-stacey-speech-to-aocs-fe-summit-18-november-2020"
"990","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 15 April 2020","Health and Social Care Secretary Matt Hancock gave the 15 April 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-04-30,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-15-april-2020"
"991","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 27 April 2020","Health and Social Care Secretary Matt Hancock gave the 27 April 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-04-30,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-27-april-2020"
"992","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 3 April 2020","Health and Social Care Secretary Matt Hancock gave the 3 April 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-04-30,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-3-april-2020"
"993","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 4 May 2020","Health and Social Care Secretary Matt Hancock gave the 4 May 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-05-05,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-4-may-2020"
"994","Oral statement to Parliament","Next stages in the NHS Test and Trace plan","Health and Social Care Secretary Matt Hancock spoke about measures to increase testing and support the NHS this winter, and the latest vaccine developments.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-07-20,"https://www.gov.uk/government/speeches/next-stages-in-the-nhs-test-and-trace-plan"
"995","Authored article","UK Science and Innovation Network Singapore on fighting COVID-19 with science","Dr Hanbin ZHENG, Senior UK Science & Innovation Officer, on the UK’s science-led international collaborations, especially in Singapore and the Southeast Asian region, in the fight against COVID-19.","Foreign & Commonwealth Office",2020-06-02,"https://www.gov.uk/government/speeches/uk-science-and-the-fight-against-covid-19"
"996","Speech","UN Human Rights Council 44: UK's closing statement","Lord Ahmad of Wimbledon welcomes conclusions of the 44th Session of the UN Human Rights Council.","Foreign & Commonwealth Office and Lord Ahmad of Wimbledon",2020-07-23,"https://www.gov.uk/government/speeches/un-human-rights-council-44-uks-closing-statement"
"997","News story","Getting help if your business is in distress","If your business is in difficulty there is  support and advice available.","The Insolvency Service",2020-04-07,"https://www.gov.uk/government/news/getting-help-if-your-business-is-in-distress"
"998","Press release","Government begins large scale study of coronavirus immunity","Major long-term study will track spread of coronavirus in general population","Department of Health and Social Care",2020-05-17,"https://www.gov.uk/government/news/government-begins-large-scale-study-of-coronavirus-immunity"
"999","News story","MFL 2021 - technical consultation on implementing confirmed changes","Consultation on the criteria teachers should use when assessing speaking skills in GCSE modern foreign languages.","Ofqual",2020-10-12,"https://www.gov.uk/government/news/mfl-2021-technical-consultation-on-implementing-confirmed-changes"
"1000","News story","Military stands up COVID Support Force","The Defence Secretary announces new measures to put service personnel and Reservists on standby to support public services in response to the COVID-19 outbreak.","Ministry of Defence and The Rt Hon Ben Wallace MP",2020-03-19,"https://www.gov.uk/government/news/military-stands-up-covid-support-force"
"1001","Press release","Minister for Africa announces closer UK-Southern Africa partnerships on visit to Malawi and Zambia","James Duddridge's visit shows how Foreign, Commonwealth & Development Office brings together development and diplomacy to act as a force for good in the world.","Foreign, Commonwealth & Development Office and James Duddridge MP",2020-10-09,"https://www.gov.uk/government/news/minister-for-africa-announces-closer-uk-southern-africa-partnerships-on-visit-to-malawi-and-zambia"
"1002","World news story","New UK science funding to support Kenya’s coronavirus response","The UK announced support programme, backed by £1.1million research grant is led by the KEMRI-Wellcome Trust  together with the Kenya's Ministry of Health.","British High Commission Nairobi",2020-08-04,"https://www.gov.uk/government/news/new-uk-science-funding-to-support-kenyas-coronavirus-response"
"1003","Correspondence","Coronavirus (COVID-19): letter to pharmacists from Jo Churchill","The health minister's letter thanks pharmacy teams for their response to coronavirus so far.","Department of Health and Social Care and Jo Churchill MP",2020-04-06,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-to-pharmacists-from-jo-churchill"
"1004","Speech","Chancellor of the Duchy of Lancaster's statement on coronavirus (COVID-19): 3 May 2020","Chancellor of the Duchy of Lancaster Michael Gove made a statement on coronavirus.","Prime Minister's Office, 10 Downing Street and The Rt Hon Michael Gove MP",2020-05-14,"https://www.gov.uk/government/speeches/chancellor-of-the-duchy-of-lancasters-statement-on-coronavirus-covid-19-3-may"
"1005","Speech","Mapping recovery through environmental sustainability","Statement by Lord Goldsmith at WWF Side Event at the 2020 High-Level Political Forum on the Sustainable Development Goals","Foreign & Commonwealth Office and The Rt Hon Lord Zac Goldsmith",2020-07-15,"https://www.gov.uk/government/speeches/mapping-recovery-through-environmental-sustainability"
"1006","Speech","Transport Secretary's statement on coronavirus (COVID-19): 9 May 2020","Announcing a £2 billion package to support active travel to help the country emerge from coronavirus crisis.","Department for Transport and The Rt Hon Grant Shapps MP",2020-05-09,"https://www.gov.uk/government/speeches/transport-secretarys-statement-on-coronavirus-covid-19-9-may-2020"
"1007","Speech","UK Statement to the WTO Council for Trade in Goods – Item 9","The UK's Ambassador to the WTO and UN in Geneva, Julian Braithwaite, delivered this statement at a meeting of the WTO’s Council for Trade in Goods on 10 June 2020.","Foreign & Commonwealth Office, Department for International Trade, and Julian Braithwaite",2020-06-11,"https://www.gov.uk/government/speeches/uk-statement-to-the-wto-council-for-trade-in-goods-item-9"
"1008","Speech","UN Human Rights Council 45: Interactive Dialogue with the Fact Finding mission on Venezuela","UK's International Ambassador for Human Rights, Rita French's statement during the Interactive Dialogue with the Fact Finding mission on Venezuela.","Foreign, Commonwealth & Development Office and Rita French",2020-09-24,"https://www.gov.uk/government/speeches/un-human-rights-council-45-interactive-dialogue-with-the-fact-finding-mission-on-venezuela"
"1009","World news story","Travel advice for moving around France","Translation of the French government's advice on the restrictive measures due to coronavirus (COVID-19).","British Embassy Paris, British Consulate Bordeaux, British Consulate Marseille, and British Consulate Paris",2020-03-17,"https://www.gov.uk/government/news/advice-for-moving-around-france"
"1010","World news story","British Embassy Asunción: call for bids 2020/2021 – COVID-19","The British Embassy Asunción is now accepting project proposals for the 2020/2021 financial year (1 July 2020 – 30 November 2020).","British Embassy Asunción",2020-05-21,"https://www.gov.uk/government/news/british-embassy-asuncion-call-for-bids-20202021-covid-19"
"1011","World news story","Call for bids in Kazakhstan: respond to the COVID-19 challenges","The British Embassy in Nur-Sultan, Kazakhstan is now accepting project proposals for the 2020/2021 financial year that will end on 31 March 2021.","British Embassy Nur-Sultan",2020-07-02,"https://www.gov.uk/government/news/call-for-bids-in-kazakhstan-respond-to-the-covid-19-challenges"
"1012","Press release","Charter flights from Caribbean Islands for British travellers to return to the UK","The UK has announced a further 3 charter flights to bring British travellers home from across the Caribbean.","Foreign & Commonwealth Office and Baroness Sugg CBE",2020-05-23,"https://www.gov.uk/government/news/charter-flights-from-caribbean-islands-for-british-travellers-to-return-to-the-uk"
"1013","News story","GAD helps restart UK film and TV productions","GAD plays a central role in a new £500m government scheme set to restart the UK film and TV productions affected by the coronavirus pandemic.","Government Actuary's Department",2020-08-24,"https://www.gov.uk/government/news/gad-helps-kickstart-uk-film-and-tv-productions"
"1014","Press release","New parents urged to have their say on available early years support via new online questionnaire","The review will consider the barriers that impact on early years development, including social and emotional factors, and early childhood experiences.","Department of Health and Social Care",2020-09-18,"https://www.gov.uk/government/news/new-parents-urged-to-have-their-say-on-available-early-years-support-via-new-online-questionnaire"
"1015","Correspondence","Coronavirus (COVID-19): letter from the Secretary of State to the local government workforce","The letter thanks the local government workforce for their help during the coronavirus pandemic.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-04-18,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-from-the-secretary-of-state-to-the-local-government-workforce"
"1016","Oral statement to Parliament","Coronavirus (COVID-19): new transport guidance for passengers and operators","Announcing new safer travel guidance for members of the public and safer transport guidance for operators.","Department for Transport and The Rt Hon Grant Shapps MP",2020-05-12,"https://www.gov.uk/government/speeches/coronavirus-covid-19-new-transport-guidance-for-passengers-and-operators"
"1017","Speech","UN Human Rights Council 45: statement for the interactive dialogue on COVID-19","The UK's International Ambassador for Human Rights, Rita French, delivered this statement during the Interactive Dialogue on COVID-19.","Foreign, Commonwealth & Development Office and Rita French",2020-09-15,"https://www.gov.uk/government/speeches/un-human-rights-council-45-statement-for-the-interactive-dialogue-on-covid-19"
"1018","Press release","Dame Louise Casey calls on community partners to help with COVID-19 rough sleeping crisis","Businesses, faith groups and local communities are being urged to help new Rough Sleeping Taskforce.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-05-26,"https://www.gov.uk/government/news/dame-louise-casey-calls-on-community-partners-to-help-with-covid-19-rough-sleeping-crisis"
"1019","Press release","Former Olympics director leads work to protect clinically vulnerable people","Chris Townsend OBE appointed to lead the cross government shielding programme in England.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-04-14,"https://www.gov.uk/government/news/former-olympics-director-leads-work-to-protect-clinically-vulnerable-people"
"1020","News story","Green light for COVID-19 trial recruitment","The MHRA has approved the recruitment of further participants for a clinical trial by the University of Oxford","Medicines and Healthcare products Regulatory Agency",2020-06-26,"https://www.gov.uk/government/news/green-light-for-covid-19-trial-recruitment"
"1021","Press release","International supercomputer pact set to fire up UK COVID-19 research","The UK will be the first country, outside the US, to join the global COVID-19 High Performance Computing (HPC) consortium","Department for Business, Energy & Industrial Strategy, Department for Digital, Culture, Media & Sport, Amanda Solloway MP, and The Rt Hon John Whittingdale OBE MP",2020-05-28,"https://www.gov.uk/government/news/international-supercomputer-pact-set-to-fire-up-uk-covid-19-research"
"1022","News story","Prime Minister hails resilience of shielders as restrictions set to ease","Extremely vulnerable people who have been “shielding” in England to be able to spend time outdoors.","Ministry of Housing, Communities & Local Government, The Rt Hon Boris Johnson MP, The Rt Hon Matt Hancock MP, and The Rt Hon Robert Jenrick MP",2020-05-31,"https://www.gov.uk/government/news/prime-minister-hails-resilience-of-shielders-as-restrictions-set-to-ease"
"1023","News story","Scottish Labour Market Statistics for three months to August 2020","Unemployment in Scotland rose by 12,000 over the last 12 months.","Office of the Secretary of State for Scotland and The Rt Hon Alister Jack MP",2020-10-13,"https://www.gov.uk/government/news/scottish-labour-market-statistics-for-three-months-to-august-2020"
"1024","Press release","Secretary of State shows support for Welsh firm’s COVID-19 response during virtual visit","Transcend Packaging converted their production lines to create face shields for the NHS.","Office of the Secretary of State for Wales and The Rt Hon Simon Hart MP",2020-11-06,"https://www.gov.uk/government/news/secretary-of-state-shows-support-for-welsh-firms-covid-19-response-during-virtual-visit"
"1025","News story","UK Government Minister visits Aberdeen coronavirus testing site","The drive-through site in Aberdeen is part of the infrastructure the UK Government has put in place throughout Scotland to boost coronavirus testing capacity.","Office of the Secretary of State for Scotland and David Duguid MP",2020-09-04,"https://www.gov.uk/government/news/uk-government-minister-visits-aberdeen-coronavirus-testing-site"
"1026","News story","UK Government to fund COVID-19 research in Scotland","The UK Government is investing £8.4 million in COVID-19 immunology research projects, including at the universities of Edinburgh, Glasgow and Dundee.","Office of the Secretary of State for Scotland, Department of Health and Social Care, and Iain Stewart MP",2020-08-28,"https://www.gov.uk/government/news/uk-government-to-fund-covid-19-research-in-scotland"
"1027","News story","UK Government to fund international Covid-19 studies in Scotland","The UK Government is investing £7.2 million in research projects across the UK, including at the universities of Edinburgh and Strathclyde.","Office of the Secretary of State for Scotland, Department for Business, Energy & Industrial Strategy, The Rt Hon Alok Sharma MP, and Iain Stewart MP",2020-09-05,"https://www.gov.uk/government/news/uk-government-to-fund-international-covid-19-studies-in-scotland"
"1028","Press release","UK supports overseas territories in coronavirus (COVID-19) battle","Re-purposed military oxygen machines among the package of coronavirus support for British Overseas Territories.","Foreign & Commonwealth Office, Jeremy Quin MP, and Baroness Sugg CBE",2020-06-10,"https://www.gov.uk/government/news/uk-supports-overseas-territories-in-coronavirus-covid-19-battle"
"1029","Speech","Business Secretary's statement on coronavirus (COVID-19): 17 May 2020","Business Secretary Alok Sharma gave the 17 May 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department of Health and Social Care, NHS England, Prime Minister's Office, 10 Downing Street, Department for Business, Energy & Industrial Strategy, and The Rt Hon Alok Sharma MP",2020-05-18,"https://www.gov.uk/government/speeches/business-secretarys-statement-on-coronavirus-covid-19-17-may-2020"
"1030","Speech","Chartered Institute of Housing 2020: Housing Minister's speech","Speech by Housing Minister the Rt Hon Christopher Pincher MP at the Chartered Institute of Housing's Housing 2020 Festival.","Ministry of Housing, Communities & Local Government and The Rt Hon Christopher Pincher MP",2020-09-07,"https://www.gov.uk/government/speeches/chartered-institute-of-housing-2020-housing-ministers-speech"
"1031","Speech","Home Secretary's statement on domestic abuse and coronavirus (COVID-19): 11 April 2020","Home Secretary Priti Patel announces support for domestic abuse victims at daily Government press conference.","Home Office and The Rt Hon Priti Patel MP",2020-04-11,"https://www.gov.uk/government/speeches/home-secretary-outlines-support-for-domestic-abuse-victims"
"1032","Speech","Organisation for Economic Cooperation and Development (OECD)","The Secretary of State delivered a speech to the OECD Roundtable on the UK’s innovative response to the Coronavirus crisis and our approach to recovery.","Department for Work and Pensions and The Rt Hon Thérèse Coffey MP",2020-07-09,"https://www.gov.uk/government/speeches/therese-coffeys-speaking-notes-from-the-oecd-event"
"1033","Speech","UK Statement to the WTO General Council","The UK's Ambassador to the WTO and UN in Geneva, Julian Braithwaite, delivered a statement to the WTO General Council on 15 May 2020.","Department for International Development, Foreign & Commonwealth Office, Department for International Trade, and Julian Braithwaite",2020-05-15,"https://www.gov.uk/government/speeches/uk-statement-to-the-wto-general-council"
"1034","Speech","UK Statement to the WTO General Council","The UK's Ambassador to the WTO and UN in Geneva, Julian Braithwaite, delivered this statement to the WTO General Council on 29 May 2020.","Foreign & Commonwealth Office, Department for International Trade, and Julian Braithwaite",2020-05-29,"https://www.gov.uk/government/speeches/uk-statement-to-the-wto-general-council--2"
"1035","Case study","Film and TV production restart scheme - GAD case study","GAD's actuarial and modelling experts were part of a multi-disciplinary team which helped set up the government's £500m film and TV production restart scheme.","Government Actuary's Department",2020-09-25,"https://www.gov.uk/government/case-studies/film-and-tv-production-kickstart-scheme-gad-case-study"
"1036","World news story","Call for project proposals supporting Covid-19 response in Malaysia","The British High Commission (BHC) in Kuala Lumpur is inviting project proposals for the 2020/21 International Programme Fund (IPF).","British High Commission Kuala Lumpur",2020-05-21,"https://www.gov.uk/government/news/call-for-project-proposals-supporting-covid-19-response-in-malaysia"
"1037","News story","CMO for England announces 25 new cases of coronavirus (COVID-19): 5 March 2020","Chief Medical Officer (CMO) Professor Chris Whitty statement on 25 new cases of COVID-19.","Department of Health and Social Care",2020-03-05,"https://www.gov.uk/government/news/cmo-for-england-announces-25-new-cases-of-coronavirus-covid-19-5-march-2020"
"1038","News story","Government and airlines working to get British passengers affected by Coronavirus back to the UK","British tourists abroad should check the website of their travel provider and Foreign Office travel advice for the latest information.","Department for Transport and The Rt Hon Grant Shapps MP",2020-03-18,"https://www.gov.uk/government/news/government-and-airlines-working-to-get-british-passengers-affected-by-coronavirus-back-to-the-uk"
"1039","Press release","UK reaches 200,000 coronavirus testing capacity target a day early","Following the rapid expansion of coronavirus testing, the UK reached the 200,000 capacity target on Saturday 30 May, including capacity for 40,000 antibody tests a day","Department of Health and Social Care",2020-05-31,"https://www.gov.uk/government/news/uk-reaches-200000-coronavirus-testing-capacity-target-a-day-early"
"1040","Speech","Baroness Dido Harding’s speech to the CBI Annual Conference","Baroness Dido Harding talks about the achievements of NHS Test and Trace, and the focus to improve the service so that we're better able to live with COVID through the winter and beyond.","Department of Health and Social Care",2020-11-06,"https://www.gov.uk/government/speeches/baroness-dido-hardings-speech-to-the-cbi-annual-conference"
"1041","Speech","Business Secretary's statement on coronavirus (COVID-19): 28 March 2020","Business Secretary Alok Sharma gave the 28 March 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department of Health and Social Care, Public Health England, Prime Minister's Office, 10 Downing Street, Department for Business, Energy & Industrial Strategy, and The Rt Hon Alok Sharma MP",2020-03-28,"https://www.gov.uk/government/speeches/business-secretarys-statement-on-coronavirus-covid-19-28-march-2020"
"1042","Speech","Dame Louise Casey's statement on coronavirus (COVID-19): 31 May 2020","Statement from Dame Louise Casey, the Prime Minister’s advisor on rough sleeping, on the efforts to support rough sleepers during the coronavirus pandemic.","Ministry of Housing, Communities & Local Government",2020-05-31,"https://www.gov.uk/government/speeches/dame-louise-caseys-statement-on-coronavirus-covid-19-31-may-2020"
"1043","Press release","British nationals depart Wuhan on flight to the UK","A flight is carrying 83 British nationals and 41 foreign nationals from Wuhan to the UK following the coronavirus outbreak in China.","Foreign & Commonwealth Office and The Rt Hon Dominic Raab MP",2020-01-31,"https://www.gov.uk/government/news/british-nationals-depart-wuhan-on-flight-to-the-uk"
"1044","News story","CMO confirms fourth case of coronavirus in England","Chief Medical Officer Professor Chris Whitty statement about a new case of novel coronavirus in England.","Department of Health and Social Care",2020-02-09,"https://www.gov.uk/government/news/cmo-confirms-fourth-case-of-coronavirus-in-england"
"1045","News story","CMO confirms third case of coronavirus in England","Chief Medical Officer Professor Chris Whitty statement about a new case of novel coronavirus in England.","Department of Health and Social Care",2020-02-06,"https://www.gov.uk/government/news/cmo-confirms-third-case-of-coronavirus-in-england"
"1046","News story","CMO for England announces 4 new cases of novel coronavirus","Chief Medical Officer Professor Chris Whitty statement on 4 new cases of COVID-19 from the Diamond Princess.","Department of Health and Social Care",2020-02-23,"https://www.gov.uk/government/news/cmo-for-england-announces-four-new-cases-of-novel-coronavirus"
"1047","News story","CMO for England announces ninth case of novel coronavirus","Chief Medical Officer Professor Chris Whitty statement about a new case of novel coronavirus (COVID-19).","Department of Health and Social Care",2020-02-12,"https://www.gov.uk/government/news/cmo-for-england-announces-ninth-case-of-novel-coronavirus"
"1048","Press release","Coronavirus: DIT offers support to exporters and investors","The Department for International Trade outlines support available to 160,000 exporters and international investors.","Department for International Trade and The Rt Hon Elizabeth Truss MP",2020-04-06,"https://www.gov.uk/government/news/coronavirus-dit-offers-support-to-exporters-and-investors"
"1049","Press release","Diamond Princess evacuation flight lands in the UK: Foreign Secretary's statement","Dominic Raab confirms that 32 British and European citizens have been brought safely home from Japan, following the coronavirus outbreak.","Foreign & Commonwealth Office and The Rt Hon Dominic Raab MP",2020-02-22,"https://www.gov.uk/government/news/diamond-princess-evacuation-flight-lands-in-the-uk-foreign-secretarys-statement"
"1050","Press release","UK assisted departure from Wuhan, China: Foreign Office statement","Following the coronavirus outbreak in Wuhan, the government is working to organise a flight to the UK for eligible British nationals.","Foreign & Commonwealth Office",2020-01-29,"https://www.gov.uk/government/news/fco-spokeswoman-statement-on-uk-assisted-departure-from-wuhan-china"
"1051","Press release","British nationals in Hubei Province: Foreign Office statement","The Foreign & Commonwealth Office has issued an update to British nationals living in Hubei Province, China following the outbreak of Wuhan coronavirus.","Foreign & Commonwealth Office",2020-01-27,"https://www.gov.uk/government/news/fco-statement-british-nationals-in-hubei-province"
"1052","Press release","British nationals on the Diamond Princess: Foreign Office statement","The FCO is working to organise a flight back to the UK for British nationals on the Diamond Princess in Japan, following the outbreak of coronavirus.","Foreign & Commonwealth Office",2020-02-18,"https://www.gov.uk/government/news/fco-statement-on-british-nationals-on-the-diamond-princess"
"1053","Press release","Local leaders pledge to continue vital building safety work","Leaders from 25 councils have pledged their commitment to ensuring vital building safety work continues during the pandemic.","Ministry of Housing, Communities & Local Government and Lord Stephen Greenhalgh",2020-05-06,"https://www.gov.uk/government/news/local-leaders-pledge-to-continue-vital-building-safety-work"
"1054","Press release","New flight from Jamaica to bring home British travellers","Around 310 more British travellers will be able to return home from Jamaica on a second charter flight organised by the Government.","Foreign & Commonwealth Office and Baroness Sugg CBE",2020-05-29,"https://www.gov.uk/government/news/new-flight-from-jamaica-to-bring-home-british-travellers"
"1055","Press release","Part time students in Wales can apply now for student finance","SLC has launched its student finance application service for part time students in Wales.","Student Loans Company",2020-06-15,"https://www.gov.uk/government/news/part-time-students-in-wales-can-apply-now-for-student-finance"
"1056","World news story","UK champions green recovery after COVID-19 pandemic","Opinion piece by Tom Hill, Department for International Trade Country Director in Zimbabwe, on the UK's work on climate change in Zimbabwe, ahead of COP26.","British Embassy Harare",2020-08-18,"https://www.gov.uk/government/news/uk-champions-green-recovery-after-covid-19-pandemic"
"1057","News story","Vital routes for supplies and people kept open through coronavirus support package","Action will protect the transport links the country relies on.","Department for Transport and The Rt Hon Grant Shapps MP",2020-04-24,"https://www.gov.uk/government/news/vital-routes-for-supplies-and-people-kept-open-through-coronavirus-support-package"
"1058","Correspondence","Coronavirus (COVID-19): letter to directors of public health from Jo Churchill","The health minister's letter thanks directors of public health and their teams for their response to COVID-19 so far.","Department of Health and Social Care and Jo Churchill MP",2020-06-19,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-to-directors-of-public-health-from-jo-churchill"
"1059","Decision","Improvement notice issued to Trafford Metropolitan Council","An improvement notice issued to Trafford Metropolitan Borough Council due to poor performance in children's social care services.","Department for Education",2019-05-23,"https://www.gov.uk/government/publications/improvement-notice-issued-to-trafford-council"
"1060","Correspondence","Response to the Fire Brigades Union on supporting fire services","A letter from James Brokenshire and Lord Stephen Greenhalgh in response to the Fire Brigades Union on the government’s actions to support fire services.","Home Office, The Rt Hon James Brokenshire MP, and Lord Stephen Greenhalgh",2020-04-21,"https://www.gov.uk/government/publications/response-to-the-fire-brigades-union-on-supporting-fire-services"
"1061","Authored article","Chief Scientific Adviser's Sunday Telegraph article: 31 May 2020","Chief Scientific Adviser Sir Patrick Vallance explains the scientific advice being given to the government and the lessons learned.","Government Office for Science and Sir Patrick Vallance",2020-05-31,"https://www.gov.uk/government/speeches/chief-scientific-advisers-sunday-telegraph-article-31-may-2020"
"1062","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 1 May 2020","Health and Social Care Secretary Matt Hancock gave the 1 May 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-05-01,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-1-may-2020"
"1063","Authored article","My pride in evacuation of Coronavirus Britons from Wuhan – Matt Crow","Writing in the Yorkshire Post, FCO staff member Matt Crow discusses his experience helping Brits leave Wuhan on a UK government-organised flight on 8 February.","Foreign & Commonwealth Office",2020-02-27,"https://www.gov.uk/government/speeches/my-pride-in-evacuation-of-coronavirus-britons-from-wuhan-matt-crow"
"1064","News story","A message from our Chief Executive - 20 March 2020","How the SIA is responding to the coronavirus pandemic.","Security Industry Authority",2020-03-20,"https://www.gov.uk/government/news/a-message-from-our-chief-executive-20-march-2020"
"1065","Press release","Government further boosts chances of UK receiving COVID-19 vaccine","Deal announced which will secure early access to a promising new coronavirus vaccine, enhancing the UK’s growing portfolio of vaccine candidates.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-07-29,"https://www.gov.uk/government/news/government-further-boosts-chances-of-uk-receiving-covid-19-vaccine"
"1066","News story","More inquiries and hearings to be held virtually in June","With the UK government now refining plans to move the country out of lockdown, we are continuing to scale up our capacity to progress a greater number of cases.","Planning Inspectorate",2020-05-28,"https://www.gov.uk/government/news/more-inquiries-and-hearings-to-be-held-virtually-in-june"
"1067","News story","New measures announced ahead of Hidden Harms Summit","Prime Minister to open virtual Hidden Harms Summit in Downing Street to drive action to tackle domestic abuse, child sexual exploitation and modern slavery","Home Office, Prime Minister's Office, 10 Downing Street, Ministry of Justice, Department for Education, The Rt Hon Robert Buckland QC MP, The Rt Hon Boris Johnson MP, The Rt Hon Priti Patel MP, and The Rt Hon Gavin Williamson CBE MP",2020-05-21,"https://www.gov.uk/government/news/new-measures-announced-ahead-of-hidden-harms-summit"
"1068","Correspondence","Coronavirus (COVID-19): letter to the energy sector","Letter from the Secretary of State for Business, Energy and Industrial Strategy, Alok Sharma, to the UK's energy sector.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-04-30,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-to-the-energy-sector"
"1069","Authored article","PM Mother's Day words: 22 March 2020","Prime Minister Boris Johnson's words on Mother's Day.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-03-22,"https://www.gov.uk/government/speeches/pm-mothers-day-words-22-march-2020"
